account,date,closed_pnl,size_usd,trade_count,classification,loss_flag,next_day_pnl,profit_bucket
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-03-20,652.062115,7589.970833333334,12,Neutral,0,3082.76165,1
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-03-22,3082.76165,526.312105263158,19,Fear,0,3464.777168,1
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-03-23,3464.777168,4999.96,2,Fear,0,2838.532396,1
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-03-24,2838.532396,2021.1748936170213,47,Neutral,0,2164.09548,1
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-03-25,2164.09548,6666.248333333334,6,Neutral,0,619.572648,1
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-03-26,619.572648,9998.76,1,Neutral,0,26714.79759,1
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-03-27,26714.79759,1071.89515625,64,Fear,0,13956.614828,1
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-03-28,13956.614828,1137.9037931034482,29,Fear,0,19573.830158,1
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-03-29,19573.830158,1162.7798837209302,86,Fear,0,9683.820194,1
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-03-30,9683.820194,2259.391935483871,31,Fear,0,5544.028638,1
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-03-31,5544.028638,4999.98625,8,Fear,0,4004.50286,1
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-04-01,4004.50286,9495.466153846153,13,Fear,0,8045.056928,1
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-04-02,8045.056928,2142.8557142857144,7,Fear,0,0.0,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-04-03,0.0,5629.0912941176475,85,Fear,0,4805.345609999999,1
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-04-04,4805.345609999999,932.0805882352942,68,Fear,0,17621.701092,1
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-04-06,17621.701092,13571.328571428572,14,Fear,0,0.0,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-04-07,0.0,2744.2062745098037,51,Extreme Fear,0,0.0,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-04-08,0.0,18749.877500000002,8,Extreme Fear,0,-4058.8889249999997,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-04-09,-4058.8889249999997,8168.482037037037,54,Extreme Fear,1,4596.960442,1
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-04-10,4596.960442,3151.4488764044945,89,Fear,0,-9584.869233000001,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-04-11,-9584.869233000001,2846.985294117647,238,Fear,1,0.0,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-04-12,0.0,2727.2445454545455,22,Fear,0,0.0,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-04-13,0.0,2222.144444444444,18,Neutral,0,3204.26268,1
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-04-15,3204.26268,2727.2429870129868,77,Fear,0,912.29492,1
